,Close
182,91.010002
183,89.43
184,87.230003
185,89.889999
186,88.150002
187,88.260002
188,89.529999
189,90.440002
190,91.980003
191,92.050003
192,92.309998
193,92.900002
194,93.449997
195,94.339996
196,94.400002
197,95.550003
198,92.959999
199,93.970001
200,94.410004
201,92.769997
202,89.209999
203,86.66999799999999
204,89.900002
205,90.949997
206,92.07
207,94.010002
208,92.800003
209,92.400002
210,92.470001
211,93.239998
212,94.260002
213,94.120003
214,94.07
215,95.959999
216,97.540001
217,98.470001
218,97.0
219,97.110001
220,99.66999799999999
221,102.190002
222,103.769997
223,103.699997
224,104.199997
225,104.879997
226,101.970001
227,103.309998
228,102.58000200000001
229,103.940002
230,108.760002
231,107.099998
232,106.489998
233,107.910004
234,109.010002
235,108.019997
236,103.949997
237,104.040001
238,105.129997
239,107.769997
240,106.260002
241,107.32
242,106.949997
243,105.739998
244,105.410004
245,105.449997
246,104.239998
247,107.120003
248,106.07
249,104.379997
250,106.18
251,105.610001
252,106.489998
253,104.599998
254,105.41999799999999
255,102.120003
256,104.660004
257,104.550003
258,106.790001
259,106.220001
260,104.040001
261,104.769997
262,105.510002
263,104.629997
264,105.019997
265,105.93
266,107.260002
267,106.220001
268,104.660004
269,102.220001
270,102.730003
271,102.970001
272,97.91999799999999
273,97.33000200000001
274,97.510002
275,99.370003
276,95.440002
277,98.370003
278,94.970001
279,95.260002
280,94.349998
281,94.160004
282,97.940002
283,97.010002
284,97.339996
285,94.449997
286,109.110001
287,112.209999
288,115.089996
289,114.610001
290,112.690002
291,110.489998
292,104.07
293,99.75
294,99.540001
295,101.0
296,101.910004
297,102.010002
298,101.610001
299,105.199997
300,103.470001
301,104.57
302,107.160004
303,105.459999
304,106.879997
305,108.07
306,107.91999799999999
307,106.91999799999999
308,109.82
309,109.949997
310,109.58000200000001
311,108.389999
312,105.730003
313,105.93
314,107.510002
315,107.32
316,109.410004
317,109.889999
318,110.66999799999999
319,112.18
320,111.019997
321,111.449997
322,111.849998
323,112.25
324,112.540001
325,113.050003
326,113.690002
327,116.139999
328,114.699997
329,114.099998
330,116.059998
331,112.550003
332,112.220001
333,113.709999
334,113.639999
335,110.629997
336,108.989998
337,110.610001
338,110.510002
339,110.839996
340,109.639999
341,110.449997
342,112.290001
343,112.41999799999999
344,113.440002
345,110.559998
346,110.099998
347,108.760002
348,108.889999
349,116.730003
350,117.58000200000001
351,118.57
352,117.43
353,118.059998
